Section,n,avg degree,avg geodesic len,num components,largest component size
178,223,78.75336322869956,2.9577020967155496,1,223
179,223,79.26457399103138,2.959843251323072,1,223
180,223,79.6322869955157,2.95988365046661,1,223
181,223,79.6322869955157,2.95988365046661,1,223
182,228,79.71929824561404,3.0041347863049697,1,228
183,228,79.71929824561404,3.0041347863049697,1,228
184,228,79.91228070175438,3.0041347863049697,1,228
185,228,79.91228070175438,3.0041347863049697,1,228
186,228,82.28070175438596,2.9938171419738775,1,228
187,228,82.30701754385964,2.9939717134245303,1,228
188,228,82.30701754385964,2.9939717134245303,1,228
189,229,82.04366812227074,3.0047881713016165,1,229
190,230,82.65217391304348,3.002999810138599,1,230
191,230,82.6608695652174,3.000379722802354,1,230
192,230,83.32173913043478,3.0046326181887224,1,230
